2001;Confidence pour Confidence;;Trading Secrets;Anglais;University of Nebraska Press;;
2001;Confidence pour Confidence;;Trading Secrets;Anglais;Bison Books;;
1995;L'Homme rompu;Tahar Ben Jelloun;المرتشي;Arabe;دار توبقال;;
1998;L'Homme rompu;Tahar Ben Jelloun;腐败者;Chinois;华夏出版社;;
2006;Le dieu du carnage;Yasmina Reza;The God of Carnage;Anglais;Faber and Faber;;
1999;Compère Général Soleil;;General Sun, my Brother;Anglais;University of Virginia Press;;
1999;Compère Général Soleil;;General Sun, my Brother;Anglais;University of Virginia Press;;
1991;Du rébecca rue des Rosiers;Léo Malet;Mayhem in the Marais;Anglais;Pan Books;;
1991;Du rébecca rue des Rosiers;Léo Malet;画室女尸;Chinois;中国戏剧出版社;;
1995;Le Bloc;Manon Cornellier;The Bloc;Anglais;James Lorimer;;
2003;L'Homme de paroles;Claude Hagège;إنسان الكلام : مساهمة لسانيّة في العلوم الإنسانيّة;Arabe;;;
1994;Donatien Alphonse François, Marquis de Sade;Maurice Lever;Sade;Anglais;Harcourt Books;;
2007;Quand Google dï¿½fie lÂ'Europe;Jean-Noël Jeanneney;Google and the Myth of Universal Knowledge;Anglais;University of Chicago Press;;
2007;Falaises;Olivier Adam;Cliffs;Anglais;Pushkin Press;;
2004;Etienne Geoffroy Saint-Hilaire (1772-1844);Hervé Le Guyader;Geoffroy Saint-Hilaire;Anglais;University of Chicago Press;;
2002;Douze coups de théâtre;Michel Tremblay;Twelve Opening Acts;Anglais;Talonbooks;;
2005;Maigret et l'affaire Nahour;Georges Simenon;Maigret és a hazudós szeretők;Hongrois;Park;;
2005;4000 Champagnes;Richard Juhlin;4000 Champagnes;Anglais;Rizzoli/Flammarion;;
1999;Ecrits sur la Psychanalyse - Freud et Lacan;;Ecrits sur la Psychanalyse - Freud et Lacan;Français;;;
1996;Ecrits sur la Psychanalyse - Freud et Lacan;;Writings on Psychoanalysis;Anglais;;;
2005;Le Siècle;;El siglo;Espagnol;Manantial;;
2007;La terre sur un fil;Eric Lambin;The Middle Path;Anglais;University of Chicago Press;;
2006;Zayde, une histoire espagnole;;Zayde;Anglais;University of Chicago Press;;
2002;Comment je crois;Pierre Teilhard de Chardin;Christianity and Evolution;Anglais;Harvest/HBJ Book;;
2010;Le monde selon Monsanto;Marie-Monique Robin;The world according to Monsanto;Anglais;The New Press;;
2008;Le Nombre et les nombres;Alain Badiou;Number and Numbers;Anglais;;;
2000;La Technique et le temps, 1;Bernard Stiegler;技术与时间:爱比米修斯的过失;Chinois;译林出版社;;
1994;Bye bye, Geneviève;Geneviève Duboscq;My Longest Night;Anglais;Arcade Publishing;;
2005;Ecrits;Jacques Lacan;Ecrits;Anglais;;;
2007;Ecrits;Jacques Lacan;Ecrits;Anglais;;;
2008;Ecrits;Jacques Lacan;Escritos Malévich;Espagnol;Síntesis;Espagne;Arts
2001;Ecrits;Jacques Lacan;拉康选集;Chinois;;;
2004;Dialogues and Addresses;;Dialogues and Addresses;Anglais;University of Chicago Press;;
2004;Dialogues and Addresses;;Dialogues and addresses;Anglais;University of Chicago Press;;
